title,directors,actors,genre,comb
vaada,Satish Kaushik,Arjun Rampal   Zayed Khan   Ameesha Patel   Alok Nath,Romance   Mystery   Drama,Satish Kaushik Arjun Rampal   Zayed Khan   Ameesha Patel   Alok Nath Romance   Mystery   Drama
rog,Himanshu Brahmbhatt,Irrfan Khan   Suhel Seth   Himanshu Malik   Shyamoli Varma,Mystery   Romance   Thriller,Himanshu Brahmbhatt Irrfan Khan   Suhel Seth   Himanshu Malik   Shyamoli Varma Mystery   Romance   Thriller
milenge milenge,Satish Kaushik,Kareena Kapoor   Shahid Kapoor   Aarti Chhabria   Delnaaz Irani,Drama   Romance,Satish Kaushik Kareena Kapoor   Shahid Kapoor   Aarti Chhabria   Delnaaz Irani Drama   Romance
naina,Shripal Morakhia,Urmila Matondkar   Anuj Sawhney   Malavikka   Amardeep Jha,Drama   Horror   Mystery,Shripal Morakhia Urmila Matondkar   Anuj Sawhney   Malavikka   Amardeep Jha Drama   Horror   Mystery
page 3,Madhur Bhandarkar,Konkona Sen Sharma   Atul Kulkarni   Sandhya Mridul   Tara Sharma,Drama,Madhur Bhandarkar Konkona Sen Sharma   Atul Kulkarni   Sandhya Mridul   Tara Sharma Drama
a sublime love story: barsaat,Suneel Darshan,Bobby Deol   Bipasha Basu   Priyanka Chopra   Gajendra Chouhan,Romance,Suneel Darshan Bobby Deol   Bipasha Basu   Priyanka Chopra   Gajendra Chouhan Romance
blackmail,Anil Devgan,Ajay Devgn   Sunil Shetty   Priyanka Chopra   Dia Mirza,Action   Drama   Thriller,Anil Devgan Ajay Devgn   Sunil Shetty   Priyanka Chopra   Dia Mirza Action   Drama   Thriller
deewane huye paagal,Vikram Bhatt,Akshay Kumar   Sunil Shetty   Shahid Kapoor   Rimi Sen,Comedy   Romance,Vikram Bhatt Akshay Kumar   Sunil Shetty   Shahid Kapoor   Rimi Sen Comedy   Romance
fareb,Deepak Tijori,Shilpa Shetty   Manoj Bajpayee   Shamita Shetty   Parmeet Sethi,Drama   Thriller,Deepak Tijori Shilpa Shetty   Manoj Bajpayee   Shamita Shetty   Parmeet Sethi Drama   Thriller
humko deewana kar gaye,Raj Kanwar,Akshay Kumar   Katrina Kaif   Bipasha Basu   Bhagyashree,Romance,Raj Kanwar Akshay Kumar   Katrina Kaif   Bipasha Basu   Bhagyashree Romance
karam,Sanjay F. Gupta,John Abraham   Priyanka Chopra   Bharat Dabholkar   Vishwajeet Pradhan,Crime   Thriller,Sanjay F. Gupta John Abraham   Priyanka Chopra   Bharat Dabholkar   Vishwajeet Pradhan Crime   Thriller
main aisa hi hoon,Harry Baweja,Ajay Devgn   Sushmita Sen   Esha Deol   Anupam Kher,Musical   Drama,Harry Baweja Ajay Devgn   Sushmita Sen   Esha Deol   Anupam Kher Musical   Drama
tango charlie,Mani Shankar,Ajay Devgn   Bobby Deol   Sanjay Dutt   Sunil Shetty,Action   Drama   War,Mani Shankar Ajay Devgn   Bobby Deol   Sanjay Dutt   Sunil Shetty Action   Drama   War
tathastu,Anubhav Sinha,Sanjay Dutt   Ameesha Patel   Jayapradha   Gulshan Grover,Drama,Anubhav Sinha Sanjay Dutt   Ameesha Patel   Jayapradha   Gulshan Grover Drama
jurm,Vikram Bhatt,Bobby Deol   Lara Dutta   Milind Gunaji   Shakti Kapoor,Thriller,Vikram Bhatt Bobby Deol   Lara Dutta   Milind Gunaji   Shakti Kapoor Thriller
sheesha,Ashu Trikha,Neha Dhupia   Elidh MacQueen   Niju Mavani   Nares Ngamseera,Drama   Romance   Thriller,Ashu Trikha Neha Dhupia   Elidh MacQueen   Niju Mavani   Nares Ngamseera Drama   Romance   Thriller
kiss kis ko,Sharad Sharan,Chaitanya Bhosle   Sherrin Verghese   Bhumika Puri   Aparna Kumesh,Musical,Sharad Sharan Chaitanya Bhosle   Sherrin Verghese   Bhumika Puri   Aparna Kumesh Musical
chaahat ek nasha...,Jay Prakash   Surya Prakash,Aryan Vaid   Manisha Koirala   Preeti Jhangiani   Sharad S. Kapoor,Romance,Jay Prakash   Surya Prakash Aryan Vaid   Manisha Koirala   Preeti Jhangiani   Sharad S. Kapoor Romance
sins,Vinod Pande,Vinod Pande   Shiney Ahuja   Seema Rahmani,Drama   Romance,Vinod Pande Vinod Pande   Shiney Ahuja   Seema Rahmani Drama   Romance
bunty aur babli,Shaad Ali,Amitabh Bachchan   Rani Mukerji   Abhishek Bachchan   Kiran Juneja,Adventure   Comedy   Crime,Shaad Ali Amitabh Bachchan   Rani Mukerji   Abhishek Bachchan   Kiran Juneja Adventure   Comedy   Crime
banaras,Pankaj Parashar,Urmila Matondkar   Ashmit Patel   Dimple Kapadia   Raj Babbar,Musical   Drama,Pankaj Parashar Urmila Matondkar   Ashmit Patel   Dimple Kapadia   Raj Babbar Musical   Drama
dosti: friends forever,Suneel Darshan,Akshay Kumar   Bobby Deol   Kareena Kapoor   Lara Dutta,Romance,Suneel Darshan Akshay Kumar   Bobby Deol   Kareena Kapoor   Lara Dutta Romance
lucky: no time for love,Radhika Rao   Vinay Sapru,Salman Khan   Sneha Ullal   Mithun Chakraborty   Kader Khan,Musical   Drama   Romance,Radhika Rao   Vinay Sapru Salman Khan   Sneha Ullal   Mithun Chakraborty   Kader Khan Musical   Drama   Romance
shaadi no. 1,David Dhawan,Fardeen Khan   Zayed Khan   Sharman Joshi   Esha Deol,Comedy,David Dhawan Fardeen Khan   Zayed Khan   Sharman Joshi   Esha Deol Comedy
chehraa,Saurabh Shukla,Bipasha Basu   Dino Morea   Preeti Jhangiani   Irrfan Khan,Thriller,Saurabh Shukla Bipasha Basu   Dino Morea   Preeti Jhangiani   Irrfan Khan Thriller
hum dum,Kushan Nandy,Romit Raaj   Anjana Sukhani   Benjamin Gilani   Tanvi Azmi,Comedy   Romance,Kushan Nandy Romit Raaj   Anjana Sukhani   Benjamin Gilani   Tanvi Azmi Comedy   Romance
jodhaa akbar,Ashutosh Gowariker,Hrithik Roshan   Aishwarya Rai Bachchan   Sonu Sood   Poonam Sinha,Action   Adventure   Biography,Ashutosh Gowariker Hrithik Roshan   Aishwarya Rai Bachchan   Sonu Sood   Poonam Sinha Action   Adventure   Biography
kabhi alvida naa kehna,Karan Johar,Shah Rukh Khan   Rani Mukerji   Amitabh Bachchan   Preity Zinta,Drama,Karan Johar Shah Rukh Khan   Rani Mukerji   Amitabh Bachchan   Preity Zinta Drama
apaharan,Prakash Jha,Ajay Devgn   Nana Patekar   Bipasha Basu   Ayub Khan,Action   Crime   Drama,Prakash Jha Ajay Devgn   Nana Patekar   Bipasha Basu   Ayub Khan Action   Crime   Drama
bachke rehna re baba,Govind Menon,Rekha   Mallika Sherawat   Paresh Rawal   Satish Shah,Comedy,Govind Menon Rekha   Mallika Sherawat   Paresh Rawal   Satish Shah Comedy
kyon ki...,Priyadarshan,Salman Khan   Kareena Kapoor   Rimi Sen   Jackie Shroff,Drama   Romance,Priyadarshan Salman Khan   Kareena Kapoor   Rimi Sen   Jackie Shroff Drama   Romance
maine pyaar kyun kiya,David Dhawan,Salman Khan   Sushmita Sen   Katrina Kaif   Sohail Khan,Comedy   Drama   Romance,David Dhawan Salman Khan   Sushmita Sen   Katrina Kaif   Sohail Khan Comedy   Drama   Romance
my wife's murder,Jijy Philip,Anil Kapoor   Suchitra Krishnamoorthi   Nandana Sen   Rajesh Tandon,Thriller,Jijy Philip Anil Kapoor   Suchitra Krishnamoorthi   Nandana Sen   Rajesh Tandon Thriller
no entry,Anees Bazmee,Anil Kapoor   Salman Khan   Fardeen Khan   Bipasha Basu,Comedy   Drama   Musical,Anees Bazmee Anil Kapoor   Salman Khan   Fardeen Khan   Bipasha Basu Comedy   Drama   Musical
paheli,Amol Palekar,Shah Rukh Khan   Anupam Kher   Rani Mukerji   Amitabh Bachchan,Fantasy   Romance,Amol Palekar Shah Rukh Khan   Anupam Kher   Rani Mukerji   Amitabh Bachchan Fantasy   Romance
socha na tha,Imtiaz Ali,Abhay Deol   Ayesha Takia   Ayesha Jhulka   Apoorva Jha,Romance   Comedy,Imtiaz Ali Abhay Deol   Ayesha Takia   Ayesha Jhulka   Apoorva Jha Romance   Comedy
zeher,Mohit Suri,Emraan Hashmi   Shamita Shetty   Udita Goswami   Sameer Kochhar,Thriller,Mohit Suri Emraan Hashmi   Shamita Shetty   Udita Goswami   Sameer Kochhar Thriller
7 1/2 phere: more than a wedding,Ishaan Trivedi,Juhi Chawla   Irrfan Khan   Manoj Pahwa   Nina Kulkarni,Comedy   Drama,Ishaan Trivedi Juhi Chawla   Irrfan Khan   Manoj Pahwa   Nina Kulkarni Comedy   Drama
garam masala,Priyadarshan,Akshay Kumar   John Abraham   Paresh Rawal   Rimi Sen,Comedy,Priyadarshan Akshay Kumar   John Abraham   Paresh Rawal   Rimi Sen Comedy
iqbal,Nagesh Kukunoor,Naseeruddin Shah   Girish Karnad   Shreyas Talpade   Shweta Prasad,Drama,Nagesh Kukunoor Naseeruddin Shah   Girish Karnad   Shreyas Talpade   Shweta Prasad Drama
kuchh meetha ho jaye,Samar Khan,Arshad Warsi   Mahima Chaudhry   Parvin Dabas   Sandhya Mridul,Comedy   Romance,Samar Khan Arshad Warsi   Mahima Chaudhry   Parvin Dabas   Sandhya Mridul Comedy   Romance
aryan: unbreakable,Abhishek Kapoor,Sohail Khan   Sneha Ullal   Inder Kumar   Farida Jalal,Drama,Abhishek Kapoor Sohail Khan   Sneha Ullal   Inder Kumar   Farida Jalal Drama
chingaari,Kalpana Lajmi,Sushmita Sen   Mithun Chakraborty   Anuj Sawhney   Ila Arun,Drama,Kalpana Lajmi Sushmita Sen   Mithun Chakraborty   Anuj Sawhney   Ila Arun Drama
lage raho munna bhai,Rajkumar Hirani,Sanjay Dutt   Arshad Warsi   Vidya Balan   Boman Irani,Comedy   Drama   Romance,Rajkumar Hirani Sanjay Dutt   Arshad Warsi   Vidya Balan   Boman Irani Comedy   Drama   Romance
salaam namaste,Siddharth Anand,Saif Ali Khan   Preity Zinta   Arshad Warsi   Tania Zaetta,Comedy   Drama   Romance,Siddharth Anand Saif Ali Khan   Preity Zinta   Arshad Warsi   Tania Zaetta Comedy   Drama   Romance
fight club: members only,Vikram Chopra,Sunil Shetty   Sohail Khan   Zayed Khan   Dino Morea,Action   Comedy,Vikram Chopra Sunil Shetty   Sohail Khan   Zayed Khan   Dino Morea Action   Comedy
jaan-e-mann: let's fall in love... again,Shirish Kunder,Salman Khan   Akshay Kumar   Preity Zinta   Anupam Kher,Musical   Romance,Shirish Kunder Salman Khan   Akshay Kumar   Preity Zinta   Anupam Kher Musical   Romance
kyaa kool hai hum,Sangeeth Sivan,Tusshar Kapoor   Ritesh Deshmukh   Isha Koppikar   Neha Dhupia,Comedy   Mystery,Sangeeth Sivan Tusshar Kapoor   Ritesh Deshmukh   Isha Koppikar   Neha Dhupia Comedy   Mystery
mr ya miss,Antara Mali   Satchit Puranik,Antara Mali   Ritesh Deshmukh   Divya Dutta   Aftab Shivdasani,Comedy,Antara Mali   Satchit Puranik Antara Mali   Ritesh Deshmukh   Divya Dutta   Aftab Shivdasani Comedy
nazar,Soni Razdan,Meera   Ashmit Patel   Koel Purie   Neena Gupta,Thriller,Soni Razdan Meera   Ashmit Patel   Koel Purie   Neena Gupta Thriller
ek ajnabee,Apoorva Lakhia,Amitabh Bachchan   Arjun Rampal   Perizaad Zorabian   Rucha Vaidya,Action   Adventure   Crime,Apoorva Lakhia Amitabh Bachchan   Arjun Rampal   Perizaad Zorabian   Rucha Vaidya Action   Adventure   Crime
home delivery: aapko... ghar tak,Sujoy Ghosh,Vivek Oberoi   Mahima Chaudhry   Ayesha Takia   Boman Irani,Comedy   Romance,Sujoy Ghosh Vivek Oberoi   Mahima Chaudhry   Ayesha Takia   Boman Irani Comedy   Romance
mixed doubles,Rajat Kapoor,Konkona Sen Sharma   Ranvir Shorey   Koel Purie   Saurabh Shukla,Comedy   Drama,Rajat Kapoor Konkona Sen Sharma   Ranvir Shorey   Koel Purie   Saurabh Shukla Comedy   Drama
mumbai godfather,Deepak Balraj Vij,Seema Biswas   Vikram Singh   Bhumika   Govind Namdeo,Action   Crime   Drama,Deepak Balraj Vij Seema Biswas   Vikram Singh   Bhumika   Govind Namdeo Action   Crime   Drama
shabnam mausi,Yogesh Bharadwaj,Ashutosh Rana   Sujeet Chaubey   Divya Desai   Jasvvant Khera,Drama,Yogesh Bharadwaj Ashutosh Rana   Sujeet Chaubey   Divya Desai   Jasvvant Khera Drama
"gandhi, my father",Feroz Abbas Khan,Akshaye Khanna   Darshan Jariwala   Shefali Shetty   Bhoomika Chawla,Biography   Drama   History,Feroz Abbas Khan Akshaye Khanna   Darshan Jariwala   Shefali Shetty   Bhoomika Chawla Biography   Drama   History
kahaani gudiya ki...: true story of a woman,Prabhakar Shukla,Divya Dutta   Arif Zakaria   Rajpal Yadav   Somed Agarwal,Drama,Prabhakar Shukla Divya Dutta   Arif Zakaria   Rajpal Yadav   Somed Agarwal Drama
naam gum jaayega,Amol Shetge,Raqesh Vashisth   Dia Mirza   Aryan Vaid   Mandira Bedi,Thriller,Amol Shetge Raqesh Vashisth   Dia Mirza   Aryan Vaid   Mandira Bedi Thriller
eklavya: the royal guard,Vidhu Vinod Chopra,Amitabh Bachchan   Saif Ali Khan   Sanjay Dutt   Vidya Balan,Action   Drama   Thriller,Vidhu Vinod Chopra Amitabh Bachchan   Saif Ali Khan   Sanjay Dutt   Vidya Balan Action   Drama   Thriller
ek khiladi ek haseena,Suparn Verma,Fardeen Khan   Koena Mitra   Kay Kay Menon   Rakhi Sawant,Comedy   Crime   Thriller,Suparn Verma Fardeen Khan   Koena Mitra   Kay Kay Menon   Rakhi Sawant Comedy   Crime   Thriller
kal: yesterday and tomorrow,Ruchi Narain,Shiney Ahuja   Murad Ali   Ahmed Chaudhary   Gopi Desai,Drama   Mystery   Thriller,Ruchi Narain Shiney Ahuja   Murad Ali   Ahmed Chaudhary   Gopi Desai Drama   Mystery   Thriller
pyare mohan,Indra Kumar   Kookie V. Gulati,Fardeen Khan   Vivek Oberoi   Esha Deol   Amrita Rao,Comedy   Drama   Romance,Indra Kumar   Kookie V. Gulati Fardeen Khan   Vivek Oberoi   Esha Deol   Amrita Rao Comedy   Drama   Romance
don,Farhan Akhtar,Shah Rukh Khan   Priyanka Chopra   Arjun Rampal   Isha Koppikar,Action   Crime   Thriller,Farhan Akhtar Shah Rukh Khan   Priyanka Chopra   Arjun Rampal   Isha Koppikar Action   Crime   Thriller
2 october,Sunil Tiwari,Ashutosh Rana   Saadhika   Sharat Saxena   Rocky Verma,Crime,Sunil Tiwari Ashutosh Rana   Saadhika   Sharat Saxena   Rocky Verma Crime
chup chup ke,Priyadarshan   Kookie V. Gulati,Kareena Kapoor   Shahid Kapoor   Paresh Rawal   Neha Dhupia,Comedy   Drama   Romance,Priyadarshan   Kookie V. Gulati Kareena Kapoor   Shahid Kapoor   Paresh Rawal   Neha Dhupia Comedy   Drama   Romance
bhairav,T.L.V. Prasad,Hemant Birje   Mithun Chakraborty   Jack Gaud   Brij Gopal,Action,T.L.V. Prasad Hemant Birje   Mithun Chakraborty   Jack Gaud   Brij Gopal Action
chand sa roshan chehra,Shabah Shamsi,Samir Aftab   Talat Aziz   Tamannaah Bhatia   Kurush Deboo,Romance,Shabah Shamsi Samir Aftab   Talat Aziz   Tamannaah Bhatia   Kurush Deboo Romance
ssukh,Kirti Kumar,Aarti Chhabria   Jackie Shroff   Mahesh Anand   Rana Jung Bahadur,Comedy   Family   Romance,Kirti Kumar Aarti Chhabria   Jackie Shroff   Mahesh Anand   Rana Jung Bahadur Comedy   Family   Romance
khosla's nest,Dibakar Banerjee,Anupam Kher   Boman Irani   Parvin Dabas   Tara Sharma,Comedy   Crime   Drama,Dibakar Banerjee Anupam Kher   Boman Irani   Parvin Dabas   Tara Sharma Comedy   Crime   Drama
the film,Junaid Memon,Nassar Abdulla   Ravi Baswani   Rakesh Bedi   Mahima Chaudhry,Drama   Thriller,Junaid Memon Nassar Abdulla   Ravi Baswani   Rakesh Bedi   Mahima Chaudhry Drama   Thriller
siskiyaan,Ashwini Chaudhary,Sanjay Chauhan   Neha Dhupia   Sachin Khedekar   Preeti Puri,Drama   Thriller,Ashwini Chaudhary Sanjay Chauhan   Neha Dhupia   Sachin Khedekar   Preeti Puri Drama   Thriller
kasak,Rajiv Babbar,Lucky Ali   Meera   Mukesh Tiwari   Nandini,Drama,Rajiv Babbar Lucky Ali   Meera   Mukesh Tiwari   Nandini Drama
saawan... the love season,Saawan Kumar Tak,Salman Khan   Saloni Aswani   Kapil Jhaveri   Prem Chopra,Romance,Saawan Kumar Tak Salman Khan   Saloni Aswani   Kapil Jhaveri   Prem Chopra Romance
yun hota toh kya hota: what if...?,Naseeruddin Shah,Konkona Sen Sharma   Irrfan Khan   Ayesha Takia   Jimmy Shergill,Drama,Naseeruddin Shah Konkona Sen Sharma   Irrfan Khan   Ayesha Takia   Jimmy Shergill Drama
neal 'n' nikki,Arjun Sablok,Uday Chopra   Tanisha   Abhishek Bachchan   Richa Pallod,Comedy   Musical   Romance,Arjun Sablok Uday Chopra   Tanisha   Abhishek Bachchan   Richa Pallod Comedy   Musical   Romance
darwaza bandh rakho,J.D. Chakravarthi,Ishrat Ali   Abhay Bhargav   Snehal Dabi   Divya Dutta,Comedy   Crime   Drama,J.D. Chakravarthi Ishrat Ali   Abhay Bhargav   Snehal Dabi   Divya Dutta Comedy   Crime   Drama
ram gopal varma's indian flames,Ram Gopal Varma,Amitabh Bachchan   Mohanlal   Ajay Devgn   Vinod Jaywant,Action   Adventure   Comedy,Ram Gopal Varma Amitabh Bachchan   Mohanlal   Ajay Devgn   Vinod Jaywant Action   Adventure   Comedy
jaane tu... ya jaane na,Abbas Tyrewala,Imran Khan   Genelia D'Souza   Manjari Phadnis   Ayaz Khan,Comedy   Drama   Romance,Abbas Tyrewala Imran Khan   Genelia D'Souza   Manjari Phadnis   Ayaz Khan Comedy   Drama   Romance
...yahaan,Shoojit Sircar,Jimmy Shergill   Minissha Lamba   Yashpal Sharma   Mukesh Tiwari,Romance,Shoojit Sircar Jimmy Shergill   Minissha Lamba   Yashpal Sharma   Mukesh Tiwari Romance
shikhar,John Mathew Matthan,Ajay Devgn   Shahid Kapoor   Bipasha Basu   Amrita Rao,Drama   Musical   Romance,John Mathew Matthan Ajay Devgn   Shahid Kapoor   Bipasha Basu   Amrita Rao Drama   Musical   Romance
vaah! life ho toh aisi!,Mahesh Manjrekar,Shahid Kapoor   Amrita Rao   Sanjay Dutt   Arshad Warsi,Comedy   Family   Musical,Mahesh Manjrekar Shahid Kapoor   Amrita Rao   Sanjay Dutt   Arshad Warsi Comedy   Family   Musical
bluffmaster!,Rohan Sippy,Abhishek Bachchan   Priyanka Chopra   Ritesh Deshmukh   Nana Patekar,Comedy   Romance   Thriller,Rohan Sippy Abhishek Bachchan   Priyanka Chopra   Ritesh Deshmukh   Nana Patekar Comedy   Romance   Thriller
god tussi great ho,Rumi Jaffery,Amitabh Bachchan   Salman Khan   Priyanka Chopra   Anupam Kher,Comedy   Drama   Romance,Rumi Jaffery Amitabh Bachchan   Salman Khan   Priyanka Chopra   Anupam Kher Comedy   Drama   Romance
aksar,Anant Mahadevan,Rajat Bedi   Till Dilumière   Udita Goswami   Hendrik Greis,Drama   Romance,Anant Mahadevan Rajat Bedi   Till Dilumière   Udita Goswami   Hendrik Greis Drama   Romance
big brother,Guddu Dhanoa,Sunny Deol   Priyanka Chopra   Vikas Anand   Manoj Bhatia,Action   Crime,Guddu Dhanoa Sunny Deol   Priyanka Chopra   Vikas Anand   Manoj Bhatia Action   Crime
malamaal weekly,Priyadarshan,Paresh Rawal   Om Puri   Ritesh Deshmukh   Reema Sen,Comedy   Drama   Romance,Priyadarshan Paresh Rawal   Om Puri   Ritesh Deshmukh   Reema Sen Comedy   Drama   Romance
nehlle pe dehlla,Ajay Chandhok,Saif Ali Khan   Bipasha Basu   Neha Dhupia   Sanjay Dutt,Comedy   Thriller,Ajay Chandhok Saif Ali Khan   Bipasha Basu   Neha Dhupia   Sanjay Dutt Comedy   Thriller
ramji londonwaley,Sanjay Dayma,Madhavan   Samita Bangargi   Satish Shah   Akhilendra Mishra,Comedy   Drama   Family,Sanjay Dayma Madhavan   Samita Bangargi   Satish Shah   Akhilendra Mishra Comedy   Drama   Family
taxi no. 9 2 11: nau do gyarah,Milan Luthria,Nana Patekar   John Abraham   Sonali Kulkarni   Sameera Reddy,Comedy   Drama   Thriller,Milan Luthria Nana Patekar   John Abraham   Sonali Kulkarni   Sameera Reddy Comedy   Drama   Thriller
"tom, dick, and harry",Deepak Tijori,Rakesh Bedi   Bobby Darling   Avtar Gill   Gulshan Grover,Comedy   Romance,Deepak Tijori Rakesh Bedi   Bobby Darling   Avtar Gill   Gulshan Grover Comedy   Romance
36 china town,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla,Akshaye Khanna   Kareena Kapoor   Shahid Kapoor   Paresh Rawal,Comedy   Mystery   Thriller,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla Akshaye Khanna   Kareena Kapoor   Shahid Kapoor   Paresh Rawal Comedy   Mystery   Thriller
aashiq banaya aapne: love takes over,Aditya Datt,Tanushree Dutta   Preeti Ganguli   Emraan Hashmi   Ashwini Khalsekar,Drama   Romance   Thriller,Aditya Datt Tanushree Dutta   Preeti Ganguli   Emraan Hashmi   Ashwini Khalsekar Drama   Romance   Thriller
bengal tiger,Adarsh Jain,Sandeep Bedi   Mithun Chakraborty   Roshini Jaffery   Raushani Jaffrey,Action   Crime,Adarsh Jain Sandeep Bedi   Mithun Chakraborty   Roshini Jaffery   Raushani Jaffrey Action   Crime
sehar,Kabeer Kaushik,Arshad Warsi   Pankaj Kapur   Mahima Chaudhry   Sushant Singh,Action   Crime   Drama,Kabeer Kaushik Arshad Warsi   Pankaj Kapur   Mahima Chaudhry   Sushant Singh Action   Crime   Drama
koi mere dil mein hai,Deepak Ramsay,Dia Mirza   Sadashiv Amrapurkar   Rita Bhaduri   Birbal,Drama,Deepak Ramsay Dia Mirza   Sadashiv Amrapurkar   Rita Bhaduri   Birbal Drama
gumnam qatil,Harinam Singh,Yunus Parvez   Mahesh Raj   Ghanshyam Rohera   Rakesh,Horror,Harinam Singh Yunus Parvez   Mahesh Raj   Ghanshyam Rohera   Rakesh Horror
pyaar ke side effects,Saket Chaudhary,Rahul Bose   Mallika Sherawat   Ranvir Shorey   Sharat Saxena,Comedy   Drama   Romance,Saket Chaudhary Rahul Bose   Mallika Sherawat   Ranvir Shorey   Sharat Saxena Comedy   Drama   Romance
ek aur visphot,M.I. Raj,Makrand Deshpande   Kishori Godbole   Raza Murad   Mahavir Shah,Crime,M.I. Raj Makrand Deshpande   Kishori Godbole   Raza Murad   Mahavir Shah Crime
kyon?,Kalpana Lajmi,Vinay Apte   Ashok Beniwal   Chaitanya Chaudhary   Rahul Dev,Crime,Kalpana Lajmi Vinay Apte   Ashok Beniwal   Chaitanya Chaudhary   Rahul Dev Crime
bullet: ek dhamaka,Irfan Khan,Benjamin Gilani   Natalya Gudkova   Iqbal Khan   Asseem Merchant,Action   Drama,Irfan Khan Benjamin Gilani   Natalya Gudkova   Iqbal Khan   Asseem Merchant Action   Drama
marshal,Manish R. Khandelwal,Ishrat Ali   Liyaqat Bari   Mithun Chakraborty   Charulatha,Action,Manish R. Khandelwal Ishrat Ali   Liyaqat Bari   Mithun Chakraborty   Charulatha Action
miss india: the mystery,Pradeep Maini,Priyanka Chopra   Neha Dhupia   Dolly   Supriya Karnik,Mystery,Pradeep Maini Priyanka Chopra   Neha Dhupia   Dolly   Supriya Karnik Mystery
salaam-e-ishq,Nikhil Advani,Salman Khan   Priyanka Chopra   Anil Kapoor   Juhi Chawla,Comedy   Drama   Musical,Nikhil Advani Salman Khan   Priyanka Chopra   Anil Kapoor   Juhi Chawla Comedy   Drama   Musical
jawani diwani: a youthful joyride,Manish Sharma,Emraan Hashmi   Celina Jaitly   Hrishitaa Bhatt   Mahesh Manjrekar,Romance,Manish Sharma Emraan Hashmi   Celina Jaitly   Hrishitaa Bhatt   Mahesh Manjrekar Romance
"main, meri patni... aur woh!",Chandan Arora,Naseeruddin Shah   Rajpal Yadav   Rituparna Sengupta   Kay Kay Menon,Comedy   Drama   Romance,Chandan Arora Naseeruddin Shah   Rajpal Yadav   Rituparna Sengupta   Kay Kay Menon Comedy   Drama   Romance
umrao jaan,J.P. Dutta,Aishwarya Rai Bachchan   Shabana Azmi   Sunil Shetty   Abhishek Bachchan,Drama   Romance,J.P. Dutta Aishwarya Rai Bachchan   Shabana Azmi   Sunil Shetty   Abhishek Bachchan Drama   Romance
time pass,Chander Mishra,Sherlyn Chopra   Tanaaz Currim Irani   Adi Irani   Monica Patel,Romance,Chander Mishra Sherlyn Chopra   Tanaaz Currim Irani   Adi Irani   Monica Patel Romance
london dreams,Vipul Amrutlal Shah,Salman Khan   Om Puri   Ajay Devgn   Dilyana Bouklieva,Musical,Vipul Amrutlal Shah Salman Khan   Om Puri   Ajay Devgn   Dilyana Bouklieva Musical
chand bujh gaya,Sharique Minhaj,Mukesh Ahuja   Ishrat Ali   Aliza   Neha Bam,Drama   Thriller,Sharique Minhaj Mukesh Ahuja   Ishrat Ali   Aliza   Neha Bam Drama   Thriller
chetna: the excitement,unknown,Jatin Grewal   Navneet Kaur   Kiran Kumar   Payal Rohatgi,Thriller,unknown Jatin Grewal   Navneet Kaur   Kiran Kumar   Payal Rohatgi Thriller
darwaza,Kanti Shah,Arun Mathur   Anil Nagrath   Amit Pachori   Sapna,Horror,Kanti Shah Arun Mathur   Anil Nagrath   Amit Pachori   Sapna Horror
mazaa mazaa,T.L.V. Prasad,Farid Amiri   Mridula Baruah   Pankaj Berry   Camila Bordonaba,Romance,T.L.V. Prasad Farid Amiri   Mridula Baruah   Pankaj Berry   Camila Bordonaba Romance
corporate,Madhur Bhandarkar,Bipasha Basu   Kay Kay Menon   Raj Babbar   Rajat Kapoor,Drama,Madhur Bhandarkar Bipasha Basu   Kay Kay Menon   Raj Babbar   Rajat Kapoor Drama
omkara,Vishal Bhardwaj,Ajay Devgn   Kareena Kapoor   Saif Ali Khan   Konkona Sen Sharma,Action   Crime   Drama,Vishal Bhardwaj Ajay Devgn   Kareena Kapoor   Saif Ali Khan   Konkona Sen Sharma Action   Crime   Drama
welcome,Anees Bazmee,Akshay Kumar   Nana Patekar   Anil Kapoor   Mallika Sherawat,Comedy   Crime   Drama,Anees Bazmee Akshay Kumar   Nana Patekar   Anil Kapoor   Mallika Sherawat Comedy   Crime   Drama
hanuman,V.G. Samant   Milind Ukey,Archi   Rajesh Jolly   Mukesh Khanna   Sushmita Mukherjee,Animation,V.G. Samant   Milind Ukey Archi   Rajesh Jolly   Mukesh Khanna   Sushmita Mukherjee Animation
koi aap sa: but lovers have to be friends,Partho Mitra,Aftab Shivdasani   Anita Hassandani   Dipannita Sharma   Himanshu Malik,Comedy   Drama   Romance,Partho Mitra Aftab Shivdasani   Anita Hassandani   Dipannita Sharma   Himanshu Malik Comedy   Drama   Romance
zinda,Sanjay Gupta,Sanjay Dutt   John Abraham   Lara Dutta   Celina Jaitly,Action   Adventure   Drama,Sanjay Gupta Sanjay Dutt   John Abraham   Lara Dutta   Celina Jaitly Action   Adventure   Drama
c u at 9,Marlon Rodrigues,Isaiah   Malavikka   Kanksha   Marlon Rodrigues,Drama   Horror   Mystery,Marlon Rodrigues Isaiah   Malavikka   Kanksha   Marlon Rodrigues Drama   Horror   Mystery
double cross: ek dhoka,Vicky Tejwani,Ayesha Jhulka   Negar Khan   Sahil Khan,Comedy,Vicky Tejwani Ayesha Jhulka   Negar Khan   Sahil Khan Comedy
