title,directors,actors,genre,comb
love khichdi,Srinivas Bhashyam,Randeep Hooda   Rituparna Sengupta   Sada   Divya Dutta,Comedy   Drama   Romance,Srinivas Bhashyam Randeep Hooda   Rituparna Sengupta   Sada   Divya Dutta Comedy   Drama   Romance
aagey se right,Indrajit Nattooji,Shreyas Talpade   Bharati Achrekar   Shaukat Baig   Rakesh Bedi,Comedy   Crime   Drama,Indrajit Nattooji Shreyas Talpade   Bharati Achrekar   Shaukat Baig   Rakesh Bedi Comedy   Crime   Drama
zor lagaa ke... haiya!,Girish Girija Joshi,Meghan Jadhav   Mithun Chakraborty   Riya Sen   Seema Biswas,Comedy   Drama   Family,Girish Girija Joshi Meghan Jadhav   Mithun Chakraborty   Riya Sen   Seema Biswas Comedy   Drama   Family
teree sang: a kidult love story,Satish Kaushik,Ruslaan Mumtaz   Sheena Shahabadi   Rajat Kapoor   Neena Gupta,Drama   Romance,Satish Kaushik Ruslaan Mumtaz   Sheena Shahabadi   Rajat Kapoor   Neena Gupta Drama   Romance
anjaana anjaani,Siddharth Anand,Priyanka Chopra   Carl Marino   Ranbir Kapoor   Aubrey K. Miller,Comedy   Drama   Musical,Siddharth Anand Priyanka Chopra   Carl Marino   Ranbir Kapoor   Aubrey K. Miller Comedy   Drama   Musical
morning walk,Arup Dutta,Nargis Bagheri   Divya Dutta   Avika Gor   Rajit Kapoor,Drama,Arup Dutta Nargis Bagheri   Divya Dutta   Avika Gor   Rajit Kapoor Drama
damadamm!,Swapna Joshi,Himesh Reshammiya   Sonal Sehgal   Purbi Joshi   Rajesh Khattar,Comedy   Drama   Romance,Swapna Joshi Himesh Reshammiya   Sonal Sehgal   Purbi Joshi   Rajesh Khattar Comedy   Drama   Romance
i am singh,Puneet Issar,Joseph Armillas   Anto Boghokian   Elissa Brentano   Gerald Brodin,Action   Crime   Drama,Puneet Issar Joseph Armillas   Anto Boghokian   Elissa Brentano   Gerald Brodin Action   Crime   Drama
dhara,Masud Mirza,Sudhanshu Pandey   Hrishitaa Bhatt   Anuj Punj   Suman Agarwal,Drama   Romance,Masud Mirza Sudhanshu Pandey   Hrishitaa Bhatt   Anuj Punj   Suman Agarwal Drama   Romance
baabarr,Ashu Trikha,Mithun Chakraborty   Om Puri   Sohum Shah   Urvashi Sharma,Action   Crime   Drama,Ashu Trikha Mithun Chakraborty   Om Puri   Sohum Shah   Urvashi Sharma Action   Crime   Drama
aisha,Rajshree Ojha,Sonam Kapoor   Abhay Deol   Amrita Puri   Cyrus Sahukar,Comedy   Drama   Romance,Rajshree Ojha Sonam Kapoor   Abhay Deol   Amrita Puri   Cyrus Sahukar Comedy   Drama   Romance
my friend pinto,Raaghav Dar,Prateik   Kalki Koechlin   Arjun Mathur   Shruti Seth,Comedy   Crime   Drama,Raaghav Dar Prateik   Kalki Koechlin   Arjun Mathur   Shruti Seth Comedy   Crime   Drama
vaada raha... i promise,Samir Karnik,Bobby Deol   Dwij Yadav   Kangana Ranaut   Mohnish Bahl,Drama,Samir Karnik Bobby Deol   Dwij Yadav   Kangana Ranaut   Mohnish Bahl Drama
